Label,bloods Score,crips Score,gds Score,hoovers Score,kings Score,stones Score,trinis Score,vls Score
bloods,0.571052632,0.034210526,0.010526316,0.005263158,0.052631579,0.028947368,0,0.297368421
bloods,0.564304462,0.034120735,0.010498688,0.007874016,0.05511811,0.028871391,0,0.299212598
bloods,0.205250597,0.085918854,0.062052506,0.136038186,0.095465394,0.071599045,0.028639618,0.3150358
bloods,0.201438849,0.095923261,0.067146283,0.134292566,0.09352518,0.071942446,0.026378897,0.309352518
bloods,0.400921659,0.046082949,0.00921659,0.013824885,0.059907834,0.036866359,0,0.433179724
bloods,0.402843602,0.028436019,0.018957346,0.014218009,0.061611374,0.037914692,0,0.436018957
bloods,0.244343891,0.502262443,0.022624434,0.113122172,0.054298643,0,0.004524887,0.058823529
bloods,0.400943396,0.056603774,0.018867925,0.014150943,0.061320755,0.033018868,0,0.41509434
bloods,0.194244604,0.098321343,0.069544365,0.139088729,0.095923261,0.076738609,0.023980815,0.302158273
bloods,0.80952381,0.043290043,0.021645022,0.017316017,0.043290043,0.021645022,0,0.043290043
bloods,0.571052632,0.034210526,0.010526316,0.005263158,0.052631579,0.028947368,0,0.297368421
bloods,0.207823961,0.083129584,0.073349633,0.13202934,0.090464548,0.075794621,0.026894866,0.310513447
bloods,0.205250597,0.085918854,0.062052506,0.136038186,0.095465394,0.071599045,0.028639618,0.3150358
bloods,0.402714932,0.045248869,0.018099548,0.013574661,0.063348416,0.036199095,0,0.42081448
bloods,0.210268949,0.085574572,0.06601467,0.136919315,0.08801956,0.078239609,0.026894866,0.30806846
bloods,0.661111111,0.033333333,0.036111111,0.058333333,0.047222222,0.086111111,0.025,0.052777778
bloods,0.394366197,0.051643192,0.014084507,0.004694836,0.0657277,0.023474178,0,0.44600939
bloods,0.400943396,0.056603774,0.018867925,0.014150943,0.061320755,0.033018868,0,0.41509434
bloods,0.248908297,0.515283843,0.021834061,0.104803493,0.043668122,0,0.004366812,0.061135371
kings,0.02293578,0.901584654,0.008965805,0.025229358,0.036488741,0.001251043,0.00145955,0.002085071
